S (%),O (%),C (%),H (%),N (%),Ash (%),T (oC),S/B,ER,Char (%),Tar (%),Gas (%)
1.6,18.2,29.5,4.9,4.1,41.7,800,0,0.3,44.32,0.66,55.02
1.6,18.2,29.5,4.9,4.1,41.7,800,0,0.3,44.24,1.25,54.51
1.6,18.2,29.5,4.9,4.1,41.7,800,0,0.3,44.53,1.54,53.93
1.6,18.2,29.5,4.9,4.1,41.7,800,1.0,0.3,43.53,0.56,55.91
1.6,18.2,29.5,4.9,4.1,41.7,800,1,0.3,43.55,1,55.45
1.6,18.2,29.5,4.9,4.1,41.7,800,1,0.3,45.19,1.32,53.49
1.01,16.25,32.03,3.88,4.72,42.12,750,0,0.3,33.7,5.6,39.4
1.01,16.25,32.03,3.88,4.72,42.12,800,0,0.25,33.5,5.6,42
1.01,16.25,32.03,3.88,4.72,42.12,850,0,0.25,33.7,4.5,43.8
1.01,16.25,32.03,3.88,4.72,42.12,750,0,0.3,32.6,7.7,40
1.01,16.25,32.03,3.88,4.72,42.12,800,0,0.3,32.5,6.2,41
1.01,16.25,32.03,3.88,4.72,42.12,850,0,0.3,32.6,3.7,43.1
1.01,16.25,32.03,3.88,4.72,42.12,750,0,0.35,31,8.5,43.1
1.01,16.25,32.03,3.88,4.72,42.12,800,0,0.35,31,7.9,44.8
1.01,16.25,32.03,3.88,4.72,42.12,850,0,0.35,31.2,4.9,48
1.01,16.25,32.03,3.88,4.72,42.12,850,0,0.3,32.4,7,49.4
1.01,16.25,32.03,3.88,4.72,42.12,850,0,0.3,32.5,6.5,50.1
0.9,18.9,27.3,4.8,4.1,44,750,0,0.2,48.89,1.81,49.3
0.9,18.9,27.3,4.8,4.1,44,800,0,0.2,47.91,1.57,50.52
0.9,18.9,27.3,4.8,4.1,44,850,0,0.2,47.98,1.16,50.86
0.9,18.9,27.3,4.8,4.1,44,750,0,0.3,48.94,1.62,49.43
0.9,18.9,27.3,4.8,4.1,44,800,0,0.3,47.14,1.08,51.79
0.9,18.9,27.3,4.8,4.1,44,850,0,0.3,46.09,0.63,53.28
0.9,18.9,27.3,4.8,4.1,44,750,0,0.4,46.54,1.09,52.37
0.9,18.9,27.3,4.8,4.1,44,800,0,0.4,46.16,0.82,53.02
0.9,18.9,27.3,4.8,4.1,44,850,0,0.4,44.72,0.51,54.77
0.9,18.9,27.3,4.8,4.1,44,750,0.5,0.3,46.08,1.53,52.39
0.9,18.9,27.3,4.8,4.1,44,800,0.5,0.3,44.92,1.04,54.03
0.9,18.9,27.3,4.8,4.1,44,850,0.5,0.3,44.74,0.61,54.65
0.9,18.9,27.3,4.8,4.1,44,750,1,0.3,45.94,1.51,52.55
0.9,18.9,27.3,4.8,4.1,44,800,1,0.3,44.83,1.02,54.15
0.9,18.9,27.3,4.8,4.1,44,850,1,0.3,44.83,0.6,54.56
1.31,20.21,29.5,4.67,5.27,39.04,850,0.71,0.17,36.8,0,63.2
1.31,20.21,29.5,4.67,5.27,39.04,770,0.71,0.17,40.1,0,59.9
1.31,20.21,29.5,4.67,5.27,39.04,850,0.52,0.12,40.1,0,59.9
